dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/BellSouth.lgf,frt,gaussian,132,115750,115322,428,16,7207,23568.8,19398,OK
Backbone,Backbone/BellSouth.lgf,random_mst,gaussian,132,4818,14,4804,54,0,28651,22353.4,OK
Backbone,Backbone/BellSouth.lgf,lp,gaussian,132,782387,NaN,NaN,NaN,NaN,61251.1,19760.8,OK
Backbone,Backbone/Bestel.lgf,electrical,gaussian,186,172,166,6,12,13.4167,917030,33904.9,OK
Backbone,Backbone/Bestel.lgf,ckr,gaussian,186,63025,86,62939,60,1,537312,27004.7,OK
Backbone,Backbone/Bestel.lgf,frt,gaussian,186,NaN,NaN,15100,21,264043,441783,35489.2,OK
Backbone,Backbone/Bestel.lgf,random_mst,gaussian,186,18214,6,18208,19,0,411408,29180.8,OK
Backbone,Backbone/Bestel.lgf,lp,gaussian,186,NaN,NaN,NaN,NaN,NaN,353828,25973.9,OK
Backbone,Backbone/BtEurope.lgf,electrical,gaussian,74,17,16,1,11,1,27426.9,6373.71,OK
Backbone,Backbone/BtEurope.lgf,ckr,gaussian,74,276,8,268,26,0,14399.5,6513.29,OK
Backbone,Backbone/BtEurope.lgf,frt,gaussian,74,5987,5875,112,15,391.133,12760,6181.48,OK
Backbone,Backbone/BtEurope.lgf,random_mst,gaussian,74,246,2,244,25,0,15754.4,8891.66,OK
Backbone,Backbone/BtEurope.lgf,lp,gaussian,74,15257,NaN,NaN,NaN,NaN,15202.4,9267.25,OK
Backbone,Backbone/BtNorthAmerica.lgf,electrical,gaussian,152,56,54,2,15,3.06667,61442.7,5580.04,OK
Backbone,Backbone/BtNorthAmerica.lgf,ckr,gaussian,152,8067,32,8035,55,0,13400.6,5727.48,OK
Backbone,Backbone/BtNorthAmerica.lgf,frt,gaussian,152,301848,297302,4546,38,7823.16,15262.1,7475.37,OK
Backbone,Backbone/BtNorthAmerica.lgf,random_mst,gaussian,152,21886,15,21871,72,0,19443.9,6038.79,OK
Backbone,Backbone/BtNorthAmerica.lgf,lp,gaussian,152,519552,NaN,NaN,NaN,NaN,13299.6,5173.35,OK
Backbone,Backbone/Carnet.lgf,electrical,gaussian,86,29,28,1,9,2.88889,4091.76,1658.98,OK
Backbone,Backbone/Carnet.lgf,ckr,gaussian,86,337,16,321,26,0,2444.74,1589.08,OK
Backbone,Backbone/Carnet.lgf,frt,gaussian,86,55595,55448,147,12,4620.17,2268.11,1516.47,OK
Backbone,Backbone/Carnet.lgf,random_mst,gaussian,86,135,2,133,12,0,2426.3,1582.22,OK
Backbone,Backbone/Carnet.lgf,lp,gaussian,86,65341,NaN,NaN,NaN,NaN,2376.26,1563.5,OK
Backbone,Backbone/ChinaTelecom.lgf,electrical,gaussian,132,50,48,2,13,3,114995,16120.8,OK
Backbone,Backbone/ChinaTelecom.lgf,ckr,gaussian,132,6938,49,6889,71,0,28742.3,16281.9,OK
Backbone,Backbone/ChinaTelecom.lgf,frt,gaussian,132,293908,291344,2564,35,8323.51,29330.7,12981.8,OK
